id,price,minimum_nights,rent
1281,211,30,1281
1282,311,30,1282
1283,235,3,1283
1284,145,30,1284
1285,150,30,1285
1286,550,30,1286
1287,92,30,1287
1288,165,90,1288
1289,151,30,1289
1290,120,30,1290
1291,250,30,1291
1292,164,30,1292
1293,195,31,1293
1294,72,30,1294
1295,70,30,1295
1296,192,30,1296
1297,105,30,1297
1298,65,30,1298
1299,225,30,1299
1300,214,30,1300
1301,131,30,1301
1302,97,30,1302
1303,77,30,1303
1304,85,30,1304
1305,199,30,1305
1306,185,30,1306
1307,111,30,1307
1308,72,30,1308
1309,195,30,1309
1310,179,30,1310
1311,55,30,1311
1312,300,30,1312
1313,185,30,1313
1314,76,30,1314
1315,228,30,1315
1316,140,30,1316
1317,499,30,1317
1318,115,30,1318
1319,70,31,1319
1320,102,30,1320
1321,69,30,1321
1322,160,30,1322
1323,550,30,1323
1324,149,30,1324
1325,81,30,1325
1326,65,30,1326
1327,73,30,1327
1328,121,30,1328
1329,150,30,1329
1330,150,45,1330
1331,144,30,1331
1332,257,30,1332
1333,120,240,1333
1334,105,30,1334
1335,150,30,1335
1336,189,30,1336
1337,200,30,1337
1338,1999,30,1338
1339,125,30,1339
1340,149,30,1340
1341,65,30,1341
1342,100,30,1342
1343,300,30,1343
1344,550,30,1344
1345,175,30,1345
1346,180,30,1346
1347,135,30,1347
1348,160,30,1348
1349,225,30,1349
1350,168,60,1350
1351,261,30,1351
1352,379,30,1352
1353,135,30,1353
1354,99,30,1354
1355,85,30,1355
1356,120,30,1356
1357,485,30,1357
1358,145,30,1358
1359,55,30,1359
1360,198,30,1360
1361,134,30,1361
1362,137,30,1362
1363,156,30,1363
1364,1500,30,1364
1365,175,30,1365
1366,95,30,1366
1367,1000,30,1367
1368,150,30,1368
1369,115,30,1369
1370,153,30,1370
1371,557,30,1371
1372,95,31,1372
1373,160,30,1373
1374,250,30,1374
1375,200,30,1375
1376,250,30,1376
1377,120,30,1377
1378,325,30,1378
1379,120,30,1379
1380,120,30,1380
1381,320,365,1381
1382,299,30,1382
1383,199,30,1383
1384,145,30,1384
1385,169,30,1385
1386,100,30,1386
1387,150,30,1387
1388,115,30,1388
1389,175,30,1389
1390,100,30,1390
1391,60,30,1391
1392,60,30,1392
1393,58,30,1393
1394,150,30,1394
1395,95,30,1395
1396,100,30,1396
1397,195,30,1397
1398,107,30,1398
1399,250,30,1399
1400,177,30,1400
1401,100,30,1401
1402,82,30,1402
1403,110,30,1403
1404,43,30,1404
1405,359,30,1405
1406,210,30,1406
1407,51,30,1407
1408,900,30,1408
1409,225,30,1409
1410,45,30,1410
1411,150,30,1411
1412,250,30,1412
1413,100,30,1413
1414,300,30,1414
1415,350,30,1415
1416,78,30,1416
1417,127,30,1417
1418,900,30,1418
1419,150,30,1419
1420,2000,30,1420
1421,150,30,1421
1422,750,30,1422
1423,150,3,1423
1424,150,30,1424
1425,57,30,1425
1426,90,30,1426
1427,214,30,1427
1428,100,30,1428
1429,150,45,1429
1430,104,30,1430
1431,199,30,1431
1432,45,31,1432
1433,575,30,1433
1434,272,30,1434
1435,179,30,1435
1436,99,30,1436
1437,800,30,1437
1438,80,30,1438
1439,120,30,1439
1440,135,30,1440
1441,80,30,1441
1442,155,30,1442
1443,78,30,1443
1444,100,30,1444
1445,55,30,1445
1446,83,30,1446
1447,65,30,1447
1448,599,30,1448
1449,120,30,1449
1450,204,30,1450
1451,160,30,1451
1452,125,30,1452
1453,165,30,1453
1454,150,30,1454
1455,57,30,1455
1456,464,30,1456
1457,850,30,1457
1458,950,30,1458
